"session_id","athlete_name","session_date","season","is_dummy","session_num","session_type","session_name","act","section","position_name","starttime","endtime","r_starttime","r_endtime","total_dur","active_dur","rpe","srpe","total_pl","active_pl","DSL","Jumps","Jumps_6_10","Jumps_10_15","Jumps_15_20","Jumps_20_25","Jumps_25_30","Jumps_30_35","Jumps_35_40","Jumps_40_45","Jumps_45_50","Jumps_50_55","Jumps_55_60","Jumps_60_65","Jumps_65_70","Jumps_70_75","Jumps_75_80","s_jumps","m_jumps","l_jumps","C_count_1_5","C_count_2_0","C_count_2_5","C_count_3_0","C_count_3_5","C_count_4_0","C_count_4_5","C_count_5_0","C_count_5_5","C_count_6_0","C_count_6_5","C_count_7_0","C_count_7_5","C_count_8_0","C_count_8_5","C_count_9_0","C_count_9_5","C_count_10_0","R_count_1_5","R_count_2_0","R_count_2_5","R_count_3_0","R_count_3_5","R_count_4_0","R_count_4_5","R_count_5_0","R_count_5_5","R_count_6_0","R_count_6_5","R_count_7_0","R_count_7_5","R_count_8_0","R_count_8_5","R_count_9_0","R_count_9_5","R_count_10_0","L_count_1_5","L_count_2_0","L_count_2_5","L_count_3_0","L_count_3_5","L_count_4_0","L_count_4_5","L_count_5_0","L_count_5_5","L_count_6_0","L_count_6_5","L_count_7_0","L_count_7_5","L_count_8_0","L_count_8_5","L_count_9_0","L_count_9_5","L_count_10_0"
11,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:28:22","10:28:56","2021-03-13T10:28:22.500Z","2021-03-13T10:28:56.478Z",1,0.3065,NA,NA,1.456285779,0,38.37821642,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,95,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:28:33","10:29:08","2021-03-13T10:28:33.230Z","2021-03-13T10:29:08.997Z",1,0.424,NA,NA,1.795295008,0,47.55563415,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,84,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Athlete 2","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:00:00","10:33:14","2021-03-13T10:00:00.000Z","2021-03-13T10:33:14.000Z",33,3.815,NA,NA,23.71743196,0,277.3967035,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,1,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Athlete 3","13/03/2021","2019/20",NA,1,"Coaching","",1,NA,NA,"10:27:52","10:29:53","2021-03-13T10:27:52.098Z","2021-03-13T10:29:53.705Z",2,0.930666667,NA,NA,4.210768489,0,101.7037323,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,376,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","Test",1,NA,NA,"10:28:29","10:30:18","2021-03-13T10:28:29.653Z","2021-03-13T10:30:18.742Z",2,1.3075,NA,NA,5.920197945,0,140.0883277,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,282,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:27:46","10:30:33","2021-03-13T10:27:46.733Z","2021-03-13T10:30:33.049Z",3,1.400666667,NA,NA,6.207492151,0,140.0883277,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,521,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:28:24","10:29:30","2021-03-13T10:28:24.288Z","2021-03-13T10:29:30.457Z",1,0.732166667,NA,NA,3.249411476,0,85.60820742,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,168,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:28:09","10:29:23","2021-03-13T10:28:09.982Z","2021-03-13T10:29:23.304Z",1,0.6155,NA,NA,2.821750088,0,74.76156494,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,218,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Athlete 1","13/03/2021","2019/20",NA,1,"Training","",1,NA,NA,"10:28:17","10:29:17","2021-03-13T10:28:17.135Z","2021-03-13T10:29:17.939Z",1,0.5155,NA,NA,2.400907175,0,64.15833383,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,175,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Athlete 1","14/03/2021","2019/20",NA,1,"Training","",NA,NA,NA,"10:00:00","10:33:14","2021-03-14T10:00:00.000Z","2021-03-14T10:33:14.000Z",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0
21,"Athlete 1","14/03/2021","2019/20",NA,1,"Training","",NA,NA,NA,"10:27:39","10:29:57","2021-03-14T10:27:39.580Z","2021-03-14T10:29:57.282Z",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,17,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,17,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Athlete 1","14/03/2021","2018/19",NA,1,"Training","",NA,NA,NA,"10:27:39","10:29:57","2021-03-14T10:27:39.580Z","2021-03-14T10:29:57.282Z",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,17,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,17,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:28:29","10:30:45","2021-03-16T10:28:29.653Z","2021-03-16T10:30:45.567Z",2,1.400666667,0,0,6.257151252,0,140.0883277,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,387,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:00:00","10:33:14","2021-03-16T10:00:00.000Z","2021-03-16T10:33:14.000Z",33,3.815,0,0,23.71743196,0,277.3967035,54,9,14,17,3,5,2,4,0,0,0,0,0,0,0,0,32,21,1,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:00:00","10:33:14","2021-03-16T10:00:00.000Z","2021-03-16T10:33:14.000Z",33,3.815,0,0,23.71743196,0,277.3967035,54,9,14,17,3,5,2,4,0,0,0,0,0,0,0,0,32,21,1,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:28:15","10:30:15","2021-03-16T10:28:15.347Z","2021-03-16T10:30:15.165Z",2,1.2575,0,0,5.768430126,0,136.3295568,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,331,1,17,29,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:27:44","10:31:19","2021-03-16T10:27:44.945Z","2021-03-16T10:31:19.546Z",4,1.400666667,0,0,7.021770945,0,140.0883277,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,701,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Athlete 1","16/03/2021","2020/21",NA,1,"Training","Test",NA,NA,NA,"10:03:25","10:04:44","2021-03-16T10:03:25.659Z","2021-03-16T10:04:44.346Z",1,0.338666667,0,0,2.520804646,0,11.4577988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,3,9,3,4,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Athlete 1","2021-03-16","2020/21",NA,1,"Training","",NA,NA,NA,"10:28:08","10:30:25","2021-03-16T10:28:08.193Z","2021-03-16T10:30:25.895Z",2,1.40066666666667,0,0,6.09180110629071,0,140.088327676093,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,396,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Athlete 1","2021-03-19","2020/21",NA,1,"Training","",NA,NA,NA,"10:21:52","10:33:14","2021-03-19T10:21:52.642Z","2021-03-19T10:33:14.000Z",11,2.63183333333333,0,0,17.2654919419363,0,336.642856890577,71,8,24,7,20,9,1,1,0,0,0,0,0,0,0,0,34,36,1,2471,10,48,37,18,7,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Athlete 1","2021-03-19","2020/21",NA,1,"Training","",NA,NA,NA,"10:28:29","10:29:05","2021-03-19T10:28:29.231Z","2021-03-19T10:29:05.775Z",1,0.424,0,0,1.77946470811578,0,47.5556341511869,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,94,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
